timestamp_utc,pid,name,role,working_set_mb,private_mb
2026-08-24T10:58:17Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T10:58:27Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T10:58:37Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T10:58:47Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T10:58:58Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T10:59:08Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T10:59:18Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T10:59:28Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T10:59:38Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T10:59:48Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T10:59:58Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T11:00:08Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:00:18Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:00:28Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T11:00:38Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:00:48Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:00:58Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:01:08Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T11:01:18Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T11:01:28Z,39916,Rscript.exe,network-build,6158.9,0
2026-08-24T11:01:38Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T11:01:48Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T11:01:59Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:02:09Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:02:19Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:02:29Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:02:39Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T11:02:49Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T11:02:59Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T11:03:09Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T11:03:19Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T11:03:29Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:03:39Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T11:03:49Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T11:03:59Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T11:04:09Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:04:19Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T11:04:29Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T11:04:39Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T11:04:49Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T11:04:59Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T11:05:09Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T11:05:20Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:05:30Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:05:40Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:05:50Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:06:00Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T11:06:10Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T11:06:20Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T11:06:30Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:06:40Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T11:06:50Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T11:07:00Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T11:07:10Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T11:07:20Z,39916,Rscript.exe,network-build,6159.1,0
